patch_id,centre_lat,centre_lon,num_agn,num_psr
578,-30.000000000000014,-151.875,6,0
579,-30.000000000000014,-140.625,10,0
580,-30.000000000000014,-129.37500000000006,8,0
581,-30.000000000000014,-118.125,14,0
582,-30.000000000000014,-106.875,10,0
583,-30.000000000000014,-95.625,14,0
584,-30.000000000000014,-84.375,14,1
585,-30.000000000000014,-73.12500000000006,8,0
586,-30.000000000000014,-61.875,9,0
587,-30.000000000000014,-50.625,5,0
588,-30.000000000000014,-39.375,11,0
589,-30.000000000000014,-28.125,6,0
590,-30.000000000000014,-16.875,4,0
591,-30.000000000000014,-5.625,14,0
592,-35.68533471265205,0.0,12,0
593,-35.68533471265205,11.25,6,0
594,-35.68533471265205,22.5,7,0
595,-35.68533471265205,33.75,8,0
596,-35.68533471265205,45.0,9,0
597,-35.68533471265205,56.25,10,0
598,-35.68533471265205,67.5,13,0
599,-35.68533471265205,78.75,7,0
600,-35.68533471265205,90.0,9,0
601,-35.68533471265205,101.25,6,0
602,-35.68533471265205,112.5,7,0
603,-35.68533471265205,123.75,12,0
604,-35.68533471265205,135.0,12,0
605,-35.68533471265205,146.25,15,0
606,-35.68533471265205,157.5,11,0
607,-35.68533471265205,168.75,8,0
608,-35.68533471265205,-180.0,4,0
609,-35.68533471265205,-168.75,11,0
610,-35.68533471265205,-157.5,6,0
611,-35.68533471265205,-146.25,8,0
612,-35.68533471265205,-135.0,14,0
613,-35.68533471265205,-123.75,8,0
614,-35.68533471265205,-112.5,15,1
615,-35.68533471265205,-101.25,11,0
616,-35.68533471265205,-90.0,15,0
617,-35.68533471265205,-78.75000000000006,12,1
618,-35.68533471265205,-67.5,6,0
619,-35.68533471265205,-56.25,9,0
620,-35.68533471265205,-45.0,10,0
621,-35.68533471265205,-33.75000000000006,10,0
622,-35.68533471265205,-22.5,7,0
623,-35.68533471265205,-11.25,7,0
624,-41.81031489577862,5.625,9,0
625,-41.81031489577862,16.875,10,0
626,-41.81031489577862,28.125,10,0
627,-41.81031489577862,39.375,10,0
628,-41.81031489577862,50.625,9,0
629,-41.81031489577862,61.875,17,0
630,-41.81031489577862,73.125,9,0
631,-41.81031489577862,84.375,11,0
632,-41.81031489577862,95.625,9,0
633,-41.81031489577862,106.875,13,0
634,-41.81031489577862,118.125,12,0
635,-41.81031489577862,129.375,10,0
636,-41.81031489577862,140.625,8,0
637,-41.81031489577862,151.875,9,0
638,-41.81031489577862,163.125,13,0
639,-41.81031489577862,174.375,14,0
640,-41.81031489577862,-174.375,8,0
641,-41.81031489577862,-163.125,7,0
642,-41.81031489577862,-151.875,9,0
643,-41.81031489577862,-140.625,12,0
644,-41.81031489577862,-129.37500000000006,11,0
645,-41.81031489577862,-118.125,8,0
646,-41.81031489577862,-106.875,13,0
647,-41.81031489577862,-95.625,14,0
648,-41.81031489577862,-84.375,11,0
649,-41.81031489577862,-73.12500000000006,11,0
650,-41.81031489577862,-61.875,7,0
651,-41.81031489577862,-50.625,8,0
652,-41.81031489577862,-39.375,10,0
653,-41.81031489577862,-28.125,8,0
654,-41.81031489577862,-16.875,10,0
655,-41.81031489577862,-5.625,14,0
656,-48.1412077943603,6.428571428571416,6,0
657,-48.1412077943603,19.285714285714278,12,0
658,-48.1412077943603,32.14285714285714,12,0
659,-48.1412077943603,45.0,11,0
660,-48.1412077943603,57.85714285714286,8,0
661,-48.1412077943603,70.71428571428572,8,0
662,-48.1412077943603,83.57142857142856,9,0
663,-48.1412077943603,96.42857142857144,10,0
664,-48.1412077943603,109.28571428571428,9,0
665,-48.1412077943603,122.14285714285711,12,0
666,-48.1412077943603,135.0,6,0
667,-48.1412077943603,147.8571428571429,9,0
668,-48.1412077943603,160.71428571428572,13,0
669,-48.1412077943603,173.57142857142856,14,0
670,-48.1412077943603,-173.57142857142856,9,0
671,-48.1412077943603,-160.71428571428572,10,0
672,-48.1412077943603,-147.8571428571429,14,0
673,-48.1412077943603,-135.0,15,0
674,-48.1412077943603,-122.14285714285711,12,0
675,-48.1412077943603,-109.28571428571428,7,0
676,-48.1412077943603,-96.42857142857144,16,0
677,-48.1412077943603,-83.57142857142856,17,0
678,-48.1412077943603,-70.71428571428572,11,0
679,-48.1412077943603,-57.85714285714283,6,0
680,-48.1412077943603,-45.0,8,0
681,-48.1412077943603,-32.14285714285717,3,0
682,-48.1412077943603,-19.28571428571422,8,0
683,-48.1412077943603,-6.428571428571445,9,0
684,-54.340912303861245,7.5,2,0
685,-54.340912303861245,22.5,9,0
686,-54.340912303861245,37.5,8,0
687,-54.340912303861245,52.5,14,0
688,-54.340912303861245,67.5,4,0
689,-54.340912303861245,82.5,11,0
690,-54.340912303861245,97.5,10,0
691,-54.340912303861245,112.5,8,0
692,-54.340912303861245,127.5,8,0
693,-54.340912303861245,142.5,7,0
694,-54.340912303861245,157.5,13,0
695,-54.340912303861245,172.5,11,0
696,-54.340912303861245,-172.5,10,0
697,-54.340912303861245,-157.5,11,0
698,-54.340912303861245,-142.5,17,0
699,-54.340912303861245,-127.5,15,0
700,-54.340912303861245,-112.5,9,0
701,-54.340912303861245,-97.5,7,0
702,-54.340912303861245,-82.5,14,0
703,-54.340912303861245,-67.5,8,0
704,-54.340912303861245,-52.50000000000006,5,0
705,-54.340912303861245,-37.5,10,0
706,-54.340912303861245,-22.5,10,0
707,-54.340912303861245,-7.5,7,0
708,-60.4344388449523,9.0,11,0
709,-60.4344388449523,27.0,11,0
710,-60.4344388449523,45.0,14,0
711,-60.4344388449523,63.0,8,0
712,-60.4344388449523,81.0,11,0
713,-60.4344388449523,99.0,8,0
714,-60.4344388449523,117.0,12,0
715,-60.4344388449523,135.0,15,0
716,-60.4344388449523,153.0,13,0
717,-60.4344388449523,171.0,16,0
