RA,DEC,GLON,Variability_Index,Signif,Unc_Energy_Flux100,Spectral_Index,Flux,Signif_Curv,hr12,hr23,hr34,hr45,pulsarness
4.83,-81.88,304.31,3.2846417,22.79,-28.468838,2.0810044,0.0,-0.36538363,-0.010674785,-0.07894151,0.005195605,0.14740458,Non-Pulsar
4.9,73.46,120.63,6.2028375,18.718,-27.278126,2.6373684,0.0,1.115774,-0.09309698,-0.3922633,-0.25525722,0.10432956,Non-Pulsar
4.91,20.38,112.9,3.2005055,14.485,-28.59655,2.1834295,0.0,0.01599974,0.52721,-0.07905213,-0.12139344,-1.276071,Non-Pulsar
5.09,69.33,120.18,2.0412996,3.204,-27.673447,2.6460407,0.0,0.6484407,-0.5127093,-0.2717642,-0.5542935,1.5284419,Non-Pulsar
5.26,3.38,108.24,3.1887481,8.118,-28.778778,1.9573873,0.0,-0.00045274015,-0.4525186,-0.07814638,0.18855324,0.28252444,Non-Pulsar
5.38,-22.36,66.41,2.9994383,4.586,-28.686825,2.6620958,0.0,0.72834474,-0.13481425,-0.5022635,-0.35611087,0.3368903,Non-Pulsar
5.39,-25.87,41.93,3.887487,29.602,-28.353998,2.008503,0.0,1.0753864,0.22751231,0.014874592,-0.112569176,-0.41268605,Non-Pulsar
5.41,-8.92,100.4,3.0133786,7.882,-28.76655,2.1330051,0.0,0.38340095,0.25410986,0.08613348,-0.17604627,6.7971616,Non-Pulsar
5.5,-51.67,313.7,3.67098,27.131,-28.567034,2.0184522,0.0,0.61319566,0.03744712,0.03776366,-0.017580504,-0.2753541,Non-Pulsar
5.52,0.11,107.21,0.0,9.647,0.0,1.655009,1.0,0.0,0.99415344,0.36659244,-0.09144134,-0.5890762,Non-Pulsar
5.54,-18.91,82.08,3.2920115,32.228,-28.165934,1.7882982,0.0,1.2965633,-0.12587012,0.29749346,0.12888998,-0.51221484,Non-Pulsar
5.64,6.13,110.01,5.4774475,61.903,-27.766188,2.0476224,0.0,1.4386158,0.019782504,-0.019865407,-0.11467228,-0.19145206,Non-Pulsar
5.93,-68.34,306.79,3.9769049,14.54,-28.638493,2.7684422,0.0,1.0366167,-0.34233654,-0.51082784,-0.34606257,-2.2802703,Non-Pulsar
5.95,44.95,117.8,4.6216135,24.017,-28.123316,2.3824449,0.0,1.3067524,-0.14288789,-0.18681735,-0.3936822,-0.98436,Non-Pulsar
5.98,16.06,113.34,2.847551,9.319,-28.685238,2.1264398,0.0,0.6177516,0.34742987,0.14692472,0.02167994,-9.071405,Non-Pulsar
